Date,North Tower (kWh),temp_C,Holiday,Hour,Day_of_Week,Sin_hour,Workday,Gaussian,Power-1,Prediction
2019-03-01 06:00:00,61.202,11.680833333333334,0,6,4,-0.45500033808613605,1,114.93049347166995,47.152,51.79401218670075
2019-03-01 07:00:00,102.307,11.865,0,7,4,2.1552251627369516,1,141.56667235432286,61.202,120.78728404972675
2019-03-01 08:00:00,137.368,12.396666666666668,0,8,4,4.686723977819363,1,171.3061319425267,102.307,203.56891103144383
2019-03-01 09:00:00,155.998,12.901666666666666,0,9,4,6.966978646412833,1,200.96792039780146,137.368,169.25835668716215
2019-03-01 10:00:00,216.133,13.923333333333334,0,10,4,8.840593581151715,1,226.4993805169191,155.998,245.29266164570848
2019-03-01 11:00:00,257.595,14.856666666666667,0,11,4,10.17988502052864,1,243.84664689526883,216.133,219.4619557065492
2019-03-01 12:00:00,227.384,15.838333333333331,0,12,4,10.893582466233818,1,250.0,257.595,259.1912655696184
2019-03-01 13:00:00,231.99,16.610833333333336,0,13,4,10.933048616783237,1,243.84664689526883,227.384,231.1323025217901
2019-03-01 14:00:00,251.406,14.755,0,14,4,10.295593919237854,1,226.4993805169191,231.99,237.24789601035783
2019-03-01 15:00:00,235.797,13.750833333333333,0,15,4,9.024659857791692,1,200.96792039780146,251.406,262.9960382039217
2019-03-01 16:00:00,231.744,13.855833333333337,0,16,4,7.206858488414452,1,171.3061319425267,235.797,230.56753975207823
2019-03-01 17:00:00,193.127,13.51,0,17,4,4.96606997037041,1,141.56667235432286,231.744,200.11988381986652
2019-03-01 18:00:00,173.42,13.289166666666668,0,18,4,2.455000338086137,1,114.93049347166995,193.127,168.76340699680543
2019-03-01 19:00:00,136.912,12.888333333333334,0,19,4,-0.1552251627369503,1,93.25303336597746,173.42,145.50218035888025
2019-03-01 20:00:00,102.117,12.64,0,20,4,-2.6867239778193617,1,77.06705664732254,136.912,100.96370568226496
2019-03-01 21:00:00,67.679,12.505833333333332,0,21,4,-4.966978646412833,1,65.91190174364553,102.117,67.13256922125716
2019-03-01 22:00:00,59.971,12.3625,0,22,4,-6.840593581151714,1,58.78738672468148,67.679,53.12027512508277
2019-03-01 23:00:00,54.704,12.105833333333337,0,23,4,-8.179885020528637,1,54.558836176722465,59.971,52.227733750324454
2019-03-02 00:00:00,48.025,12.438333333333333,0,0,5,-8.893582466233818,0,50.44435986152969,54.704,52.20911410188802
2019-03-02 01:00:00,46.764,12.543333333333337,0,1,5,-8.933048616783237,0,50.91176723534449,48.025,46.12112162456304
2019-03-02 02:00:00,46.982,12.611666666666666,0,2,5,-8.29559391923785,0,51.7574773449363,46.764,45.49554245002458
2019-03-02 03:00:00,47.568,12.49,0,3,5,-7.024659857791685,0,53.182380348729104,46.982,45.1649999536044
2019-03-02 04:00:00,46.347,12.534999999999998,0,4,5,-5.2068584884144515,0,55.41341132946451,47.568,46.03753699163333
2019-03-02 05:00:00,44.988,12.676666666666668,0,5,5,-2.9660699703704005,0,58.65060667319549,46.347,46.138171606706216
2019-03-02 06:00:00,45.691,12.838333333333331,0,6,5,-0.45500033808613605,0,62.98609869433399,44.988,45.72191094592076
2019-03-02 07:00:00,47.019,12.98,0,7,5,2.1552251627369516,0,68.31333447086458,45.691,49.58684665714172
2019-03-02 08:00:00,46.121,13.319166666666668,0,8,5,4.686723977819363,0,74.26122638850534,47.019,47.90488003100291
2019-03-02 09:00:00,47.648,13.796666666666669,0,9,5,6.966978646412833,0,80.1935840795603,46.121,47.42320054584746
2019-03-02 10:00:00,47.873,15.0425,0,10,5,8.840593581151715,0,85.29987610338382,47.648,48.37068672238533
2019-03-02 11:00:00,48.356,17.074166666666667,0,11,5,10.17988502052864,0,88.76932937905377,47.873,48.1737345582495
2019-03-02 12:00:00,48.861,18.353333333333335,0,12,5,10.893582466233818,0,90.0,48.356,48.436193426492636
2019-03-02 13:00:00,48.036,19.110833333333332,0,13,5,10.933048616783237,0,88.76932937905377,48.861,49.07220275516966
2019-03-02 14:00:00,49.007,18.8625,0,14,5,10.295593919237854,0,85.29987610338382,48.036,48.20679388750175
2019-03-02 15:00:00,54.16,18.61916666666667,0,15,5,9.024659857791692,0,80.1935840795603,49.007,49.04418399918135
2019-03-02 16:00:00,54.918,17.3275,0,16,5,7.206858488414452,0,74.26122638850534,54.16,54.353036775575305
2019-03-02 17:00:00,54.825,15.581666666666663,0,17,5,4.96606997037041,0,68.31333447086458,54.918,53.92111957081529
2019-03-02 18:00:00,58.57,13.685,0,18,5,2.455000338086137,0,62.98609869433399,54.825,54.442161713541346
2019-03-02 19:00:00,58.966,12.736666666666666,0,19,5,-0.1552251627369503,0,58.65060667319549,58.57,54.268368517658864
2019-03-02 20:00:00,58.18,12.440833333333332,0,20,5,-2.6867239778193617,0,55.41341132946451,58.966,51.03459078057341
2019-03-02 21:00:00,54.315,11.93,0,21,5,-4.966978646412833,0,53.182380348729104,58.18,51.17408487245326
2019-03-02 22:00:00,51.057,11.404166666666669,0,22,5,-6.840593581151714,0,51.7574773449363,54.315,50.23397932390998
2019-03-02 23:00:00,48.313,11.0725,0,23,5,-8.179885020528637,0,50.91176723534449,51.057,47.46785458207937
2019-03-03 00:00:00,51.02,10.956666666666663,0,0,6,-8.893582466233818,0,50.44435986152969,48.313,47.01294816646364
2019-03-03 01:00:00,48.157,10.939166666666669,0,1,6,-8.933048616783237,0,50.91176723534449,51.02,48.331920034815404
2019-03-03 02:00:00,46.37,10.8725,0,2,6,-8.29559391923785,0,51.7574773449363,48.157,46.48904369028628
2019-03-03 03:00:00,46.498,10.760833333333332,0,3,6,-7.024659857791685,0,53.182380348729104,46.37,45.2394292680178
2019-03-03 04:00:00,46.438,10.566666666666666,0,4,6,-5.2068584884144515,0,55.41341132946451,46.498,44.92904796157431
2019-03-03 05:00:00,46.423,10.450833333333334,0,5,6,-2.9660699703704005,0,58.65060667319549,46.438,46.191588503895375
2019-03-03 06:00:00,46.394,10.2125,0,6,6,-0.45500033808613605,0,62.98609869433399,46.423,45.98146953383506
2019-03-03 07:00:00,46.779,10.185,0,7,6,2.1552251627369516,0,68.31333447086458,46.394,50.1744248669331
2019-03-03 08:00:00,47.098,10.225,0,8,6,4.686723977819363,0,74.26122638850534,46.779,47.77240832417454
2019-03-03 09:00:00,48.767,10.470833333333331,0,9,6,6.966978646412833,0,80.1935840795603,47.098,47.8920876431593
2019-03-03 10:00:00,48.283,12.4325,0,10,6,8.840593581151715,0,85.29987610338382,48.767,49.137928143939135
2019-03-03 11:00:00,49.579,14.633333333333333,0,11,6,10.17988502052864,0,88.76932937905377,48.283,48.477722280586434
